year,treat,grant,grant_nlg
2014,0,3661460.084285714,4559054.920952382
2014,1,814358.2264964086,3077767.0371198016
2015,0,5005462.014761905,7488847.30904762
2015,1,5084547.988788427,9867074.645173512
2016,0,5265562.635714286,7871024.639047619
2016,1,21009590.33411883,8313541.714648617
2017,0,8138703.426666667,10481369.227619048
2017,1,29128156.270660713,10302165.49781177
2018,0,10150504.727142857,13072785.745238096
2018,1,31745816.939954285,10988981.412910853
2019,0,13338218.148095237,13045470.056190476
2019,1,18289766.516201943,12745618.462547528
